predictor,D009_GlobPlot,D009_GlobPlot,D025_RawMSA,D025_RawMSA,D033_DynaMine,D033_DynaMine
auc,0.624,0.624,0.78,0.78,0.707,0.707
metric,fpr,tpr,fpr,tpr,fpr,tpr
0.367,0.0,0.0,0.449,0.85,0.093,0.22
0.366,0.0,0.0,0.45,0.851,0.094,0.223
0.365,0.0,0.0,0.451,0.852,0.095,0.226
0.364,0.0,0.0,0.452,0.853,0.096,0.228
0.363,0.0,0.0,0.454,0.854,0.097,0.231
0.362,0.0,0.0,0.455,0.855,0.099,0.234
0.361,0.0,0.0,0.456,0.855,0.1,0.237
0.36,0.0,0.0,0.457,0.856,0.101,0.239
0.359,0.001,0.0,0.458,0.857,0.102,0.242
0.358,0.001,0.0,0.459,0.858,0.104,0.245
0.357,0.001,0.0,0.46,0.859,0.105,0.248
0.356,0.001,0.0,0.461,0.859,0.106,0.251
0.355,0.001,0.0,0.462,0.86,0.107,0.254
0.354,0.001,0.0,0.463,0.861,0.109,0.257
0.353,0.001,0.0,0.465,0.862,0.11,0.26
0.352,0.001,0.0,0.466,0.863,0.111,0.264
0.351,0.001,0.0,0.467,0.864,0.113,0.267
0.35,0.001,0.0,0.468,0.865,0.114,0.27
0.349,0.001,0.0,0.469,0.866,0.115,0.273
0.348,0.001,0.0,0.47,0.867,0.117,0.277
0.347,0.001,0.0,0.471,0.868,0.118,0.28
0.346,0.001,0.0,0.472,0.869,0.12,0.283
0.345,0.001,0.0,0.473,0.869,0.121,0.287
0.344,0.001,0.0,0.474,0.87,0.122,0.29
0.343,0.001,0.0,0.475,0.871,0.124,0.293
0.342,0.001,0.0,0.477,0.872,0.125,0.297
0.341,0.001,0.0,0.478,0.873,0.127,0.3
0.34,0.001,0.0,0.479,0.873,0.128,0.303
0.339,0.001,0.0,0.48,0.874,0.13,0.306
0.338,0.001,0.0,0.481,0.875,0.131,0.31
0.337,0.001,0.0,0.482,0.876,0.133,0.313
0.336,0.001,0.0,0.483,0.876,0.134,0.316
0.335,0.001,0.0,0.484,0.877,0.136,0.319
0.334,0.001,0.0,0.485,0.878,0.137,0.323
0.333,0.001,0.0,0.486,0.879,0.139,0.327
0.332,0.001,0.0,0.487,0.88,0.14,0.33
0.331,0.001,0.0,0.488,0.88,0.142,0.334
0.33,0.001,0.0,0.489,0.881,0.144,0.338
0.329,0.001,0.0,0.49,0.882,0.145,0.341
0.328,0.001,0.0,0.491,0.882,0.147,0.345
0.327,0.001,0.0,0.492,0.883,0.148,0.348
0.326,0.001,0.0,0.493,0.883,0.15,0.352
0.325,0.001,0.0,0.494,0.884,0.152,0.355
0.324,0.001,0.0,0.495,0.885,0.153,0.358
0.323,0.001,0.001,0.496,0.885,0.155,0.362
0.322,0.001,0.001,0.497,0.886,0.157,0.366
0.321,0.001,0.001,0.498,0.886,0.158,0.37
0.32,0.001,0.001,0.5,0.887,0.16,0.373
0.319,0.001,0.001,0.501,0.887,0.162,0.377
0.318,0.001,0.001,0.502,0.888,0.164,0.381
0.317,0.001,0.001,0.503,0.889,0.165,0.385
0.316,0.001,0.001,0.504,0.889,0.167,0.388
0.315,0.001,0.001,0.505,0.89,0.169,0.392
0.314,0.001,0.001,0.506,0.891,0.171,0.396
0.313,0.001,0.001,0.507,0.891,0.173,0.4
0.312,0.001,0.001,0.509,0.892,0.175,0.404
0.311,0.001,0.001,0.51,0.893,0.177,0.408
0.31,0.001,0.001,0.511,0.893,0.179,0.412
0.309,0.001,0.001,0.512,0.894,0.18,0.416
0.308,0.001,0.001,0.513,0.894,0.183,0.419
0.307,0.001,0.001,0.514,0.895,0.185,0.424
0.306,0.001,0.001,0.515,0.896,0.187,0.427
0.305,0.001,0.001,0.517,0.896,0.189,0.431
0.304,0.002,0.001,0.518,0.897,0.191,0.436
0.303,0.002,0.001,0.519,0.898,0.193,0.44
0.302,0.002,0.001,0.52,0.898,0.195,0.444
0.301,0.002,0.001,0.521,0.899,0.197,0.448
0.3,0.002,0.001,0.522,0.899,0.199,0.452
0.299,0.002,0.001,0.523,0.9,0.201,0.456
0.298,0.002,0.002,0.524,0.9,0.203,0.459
0.297,0.002,0.002,0.525,0.901,0.205,0.463
0.296,0.002,0.002,0.526,0.901,0.208,0.467
0.295,0.002,0.002,0.527,0.902,0.21,0.471
0.294,0.002,0.002,0.528,0.902,0.212,0.475
0.293,0.002,0.002,0.529,0.903,0.214,0.479
0.292,0.002,0.002,0.53,0.904,0.217,0.483
0.291,0.002,0.002,0.531,0.904,0.219,0.486
0.29,0.002,0.002,0.533,0.905,0.221,0.49
0.289,0.002,0.002,0.534,0.906,0.223,0.494
0.288,0.002,0.002,0.535,0.906,0.226,0.498
0.287,0.002,0.002,0.536,0.907,0.228,0.502
0.286,0.002,0.002,0.537,0.907,0.231,0.506
0.285,0.002,0.002,0.538,0.908,0.233,0.51
0.284,0.002,0.002,0.539,0.908,0.236,0.514
0.283,0.002,0.003,0.541,0.909,0.238,0.518
0.282,0.002,0.003,0.542,0.91,0.241,0.522
